"question","generated_sql","type","answer","is_valid"
"Tôi còn nợ hóa đơn tháng 9 không (v1)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.deadline, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 9 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 20","SQL","","1"
"Lịch sử hóa đơn đã thanh toán tháng 9 của tôi (v1)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.paid_at, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 9 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status = 'PAID' ORDER BY b.paid_at DESC LIMIT 20","SQL","","1"
"Doanh thu đã thu tháng 9 của tôi (v1)","SELECT SUM(b.total_amount) AS total_revenue, COUNT(b.id) AS total_paid_bills, b.month, b.year FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND b.status = 'PAID' AND b.month = 9 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int GROUP BY b.month, b.year","SQL","","1"
"Danh sách khách nợ tiền tháng 9 (v1)","SELECT u.full_name AS tenant_name, u.phone_number, r.name AS room_name, p.name AS property_name, b.total_amount, b.status AS bill_status, b.deadline FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND b.month = 9 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 100","SQL","","1"
"Hợp đồng active sắp hết hạn trong 35 ngày","SELECT c.id AS contract_id, c.end_date, (c.end_date::date - CURRENT_DATE) AS days_remaining, u.full_name AS tenant_name, r.name AS room_name, p.name AS property_name FROM contracts c JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND c.end_date BETWEEN CURRENT_DATE AND (CURRENT_DATE + INTERVAL '35 day') ORDER BY c.end_date ASC LIMIT 100","SQL","","1"
"Tìm phòng ở Quận 7 từ 5000000 đến 7000000","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%7%' AND r.price BETWEEN 5000000 AND 7000000 ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng loại TWO_BEDROOM ở Quận 7","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%7%' AND r.type = 'TWO_BEDROOM' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng máy lạnh tại Quận 7","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%7%' AND LOWER(COALESCE(r.amenities,'')) LIKE '%máy lạnh%' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Giao dịch blockchain tháng 9 của tôi (v1)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.payment_tx_hash, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 9 AND b.payment_tx_hash IS NOT NULL ORDER BY b.year DESC, b.month DESC LIMIT 30","SQL","","1"
"Hóa đơn tháng 10 của tôi (v1)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.deadline, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 10 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int ORDER BY b.deadline ASC LIMIT 20","SQL","","1"
"Tôi còn nợ hóa đơn tháng 10 không (v1)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.deadline, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 10 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 20","SQL","","1"
"Lịch sử hóa đơn đã thanh toán tháng 10 của tôi (v1)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.paid_at, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 10 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status = 'PAID' ORDER BY b.paid_at DESC LIMIT 20","SQL","","1"
"Doanh thu đã thu tháng 10 của tôi (v1)","SELECT SUM(b.total_amount) AS total_revenue, COUNT(b.id) AS total_paid_bills, b.month, b.year FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND b.status = 'PAID' AND b.month = 10 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int GROUP BY b.month, b.year","SQL","","1"
"Danh sách khách nợ tiền tháng 10 (v1)","SELECT u.full_name AS tenant_name, u.phone_number, r.name AS room_name, p.name AS property_name, b.total_amount, b.status AS bill_status, b.deadline FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND b.month = 10 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 100","SQL","","1"
"Hợp đồng active sắp hết hạn trong 36 ngày","SELECT c.id AS contract_id, c.end_date, (c.end_date::date - CURRENT_DATE) AS days_remaining, u.full_name AS tenant_name, r.name AS room_name, p.name AS property_name FROM contracts c JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND c.end_date BETWEEN CURRENT_DATE AND (CURRENT_DATE + INTERVAL '36 day') ORDER BY c.end_date ASC LIMIT 100","SQL","","1"
"Tìm phòng ở Quận 10 từ 2000000 đến 4000000","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%10%' AND r.price BETWEEN 2000000 AND 4000000 ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng loại SINGLE_ROOM ở Quận 10","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%10%' AND r.type = 'SINGLE_ROOM' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng gác lửng tại Quận 10","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%10%' AND LOWER(COALESCE(r.amenities,'')) LIKE '%gác lửng%' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Giao dịch blockchain tháng 10 của tôi (v1)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.payment_tx_hash, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 10 AND b.payment_tx_hash IS NOT NULL ORDER BY b.year DESC, b.month DESC LIMIT 30","SQL","","1"
"Hóa đơn tháng 11 của tôi (v1)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.deadline, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 11 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int ORDER BY b.deadline ASC LIMIT 20","SQL","","1"
"Tôi còn nợ hóa đơn tháng 11 không (v1)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.deadline, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 11 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 20","SQL","","1"
"Lịch sử hóa đơn đã thanh toán tháng 11 của tôi (v1)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.paid_at, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 11 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status = 'PAID' ORDER BY b.paid_at DESC LIMIT 20","SQL","","1"
"Doanh thu đã thu tháng 11 của tôi (v1)","SELECT SUM(b.total_amount) AS total_revenue, COUNT(b.id) AS total_paid_bills, b.month, b.year FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND b.status = 'PAID' AND b.month = 11 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int GROUP BY b.month, b.year","SQL","","1"
"Danh sách khách nợ tiền tháng 11 (v1)","SELECT u.full_name AS tenant_name, u.phone_number, r.name AS room_name, p.name AS property_name, b.total_amount, b.status AS bill_status, b.deadline FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND b.month = 11 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 100","SQL","","1"
"Hợp đồng active sắp hết hạn trong 37 ngày","SELECT c.id AS contract_id, c.end_date, (c.end_date::date - CURRENT_DATE) AS days_remaining, u.full_name AS tenant_name, r.name AS room_name, p.name AS property_name FROM contracts c JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND c.end_date BETWEEN CURRENT_DATE AND (CURRENT_DATE + INTERVAL '37 day') ORDER BY c.end_date ASC LIMIT 100","SQL","","1"
"Tìm phòng ở Quận 12 từ 2500000 đến 4500000","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%12%' AND r.price BETWEEN 2500000 AND 4500000 ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng loại SHARED_ROOM ở Quận 12","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%12%' AND r.type = 'SHARED_ROOM' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng ban công tại Quận 12","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%12%' AND LOWER(COALESCE(r.amenities,'')) LIKE '%ban công%' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Giao dịch blockchain tháng 11 của tôi (v1)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.payment_tx_hash, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 11 AND b.payment_tx_hash IS NOT NULL ORDER BY b.year DESC, b.month DESC LIMIT 30","SQL","","1"
"Hóa đơn tháng 12 của tôi (v1)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.deadline, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 12 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int ORDER BY b.deadline ASC LIMIT 20","SQL","","1"
"Tôi còn nợ hóa đơn tháng 12 không (v1)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.deadline, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 12 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 20","SQL","","1"
"Lịch sử hóa đơn đã thanh toán tháng 12 của tôi (v1)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.paid_at, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 12 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status = 'PAID' ORDER BY b.paid_at DESC LIMIT 20","SQL","","1"
"Doanh thu đã thu tháng 12 của tôi (v1)","SELECT SUM(b.total_amount) AS total_revenue, COUNT(b.id) AS total_paid_bills, b.month, b.year FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND b.status = 'PAID' AND b.month = 12 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int GROUP BY b.month, b.year","SQL","","1"
"Danh sách khách nợ tiền tháng 12 (v1)","SELECT u.full_name AS tenant_name, u.phone_number, r.name AS room_name, p.name AS property_name, b.total_amount, b.status AS bill_status, b.deadline FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND b.month = 12 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 100","SQL","","1"
"Hợp đồng active sắp hết hạn trong 38 ngày","SELECT c.id AS contract_id, c.end_date, (c.end_date::date - CURRENT_DATE) AS days_remaining, u.full_name AS tenant_name, r.name AS room_name, p.name AS property_name FROM contracts c JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND c.end_date BETWEEN CURRENT_DATE AND (CURRENT_DATE + INTERVAL '38 day') ORDER BY c.end_date ASC LIMIT 100","SQL","","1"
"Tìm phòng ở Gò Vấp từ 3000000 đến 5000000","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%Gò%Vấp%' AND r.price BETWEEN 3000000 AND 5000000 ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng loại MEZZANINE_ROOM ở Gò Vấp","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%Gò%Vấp%' AND r.type = 'MEZZANINE_ROOM' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng nội thất tại Gò Vấp","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%Gò%Vấp%' AND LOWER(COALESCE(r.amenities,'')) LIKE '%nội thất%' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Giao dịch blockchain tháng 12 của tôi (v1)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.payment_tx_hash, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 12 AND b.payment_tx_hash IS NOT NULL ORDER BY b.year DESC, b.month DESC LIMIT 30","SQL","","1"
"Hóa đơn tháng 1 của tôi (v2)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.deadline, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 1 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int ORDER BY b.deadline ASC LIMIT 20","SQL","","1"
"Tôi còn nợ hóa đơn tháng 1 không (v2)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.deadline, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 1 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 20","SQL","","1"
"Lịch sử hóa đơn đã thanh toán tháng 1 của tôi (v2)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.paid_at, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 1 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status = 'PAID' ORDER BY b.paid_at DESC LIMIT 20","SQL","","1"
"Doanh thu đã thu tháng 1 của tôi (v2)","SELECT SUM(b.total_amount) AS total_revenue, COUNT(b.id) AS total_paid_bills, b.month, b.year FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND b.status = 'PAID' AND b.month = 1 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int GROUP BY b.month, b.year","SQL","","1"
"Danh sách khách nợ tiền tháng 1 (v2)","SELECT u.full_name AS tenant_name, u.phone_number, r.name AS room_name, p.name AS property_name, b.total_amount, b.status AS bill_status, b.deadline FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND b.month = 1 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 100","SQL","","1"
"Hợp đồng active sắp hết hạn trong 39 ngày","SELECT c.id AS contract_id, c.end_date, (c.end_date::date - CURRENT_DATE) AS days_remaining, u.full_name AS tenant_name, r.name AS room_name, p.name AS property_name FROM contracts c JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND c.end_date BETWEEN CURRENT_DATE AND (CURRENT_DATE + INTERVAL '39 day') ORDER BY c.end_date ASC LIMIT 100","SQL","","1"
"Tìm phòng ở Bình Thạnh từ 3500000 đến 5500000","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%Bình%Thạnh%' AND r.price BETWEEN 3500000 AND 5500000 ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng loại STUDIO ở Bình Thạnh","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%Bình%Thạnh%' AND r.type = 'STUDIO' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng wifi tại Bình Thạnh","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%Bình%Thạnh%' AND LOWER(COALESCE(r.amenities,'')) LIKE '%wifi%' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Giao dịch blockchain tháng 1 của tôi (v2)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.payment_tx_hash, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 1 AND b.payment_tx_hash IS NOT NULL ORDER BY b.year DESC, b.month DESC LIMIT 30","SQL","","1"
"Hóa đơn tháng 2 của tôi (v2)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.deadline, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 2 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int ORDER BY b.deadline ASC LIMIT 20","SQL","","1"
"Tôi còn nợ hóa đơn tháng 2 không (v2)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.deadline, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 2 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 20","SQL","","1"
"Lịch sử hóa đơn đã thanh toán tháng 2 của tôi (v2)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.paid_at, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 2 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status = 'PAID' ORDER BY b.paid_at DESC LIMIT 20","SQL","","1"
"Doanh thu đã thu tháng 2 của tôi (v2)","SELECT SUM(b.total_amount) AS total_revenue, COUNT(b.id) AS total_paid_bills, b.month, b.year FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND b.status = 'PAID' AND b.month = 2 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int GROUP BY b.month, b.year","SQL","","1"
"Danh sách khách nợ tiền tháng 2 (v2)","SELECT u.full_name AS tenant_name, u.phone_number, r.name AS room_name, p.name AS property_name, b.total_amount, b.status AS bill_status, b.deadline FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND b.month = 2 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 100","SQL","","1"
"Hợp đồng active sắp hết hạn trong 40 ngày","SELECT c.id AS contract_id, c.end_date, (c.end_date::date - CURRENT_DATE) AS days_remaining, u.full_name AS tenant_name, r.name AS room_name, p.name AS property_name FROM contracts c JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND c.end_date BETWEEN CURRENT_DATE AND (CURRENT_DATE + INTERVAL '40 day') ORDER BY c.end_date ASC LIMIT 100","SQL","","1"
"Tìm phòng ở Tân Bình từ 4000000 đến 6000000","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%Tân%Bình%' AND r.price BETWEEN 4000000 AND 6000000 ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng loại ONE_BEDROOM ở Tân Bình","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%Tân%Bình%' AND r.type = 'ONE_BEDROOM' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng máy lạnh tại Tân Bình","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%Tân%Bình%' AND LOWER(COALESCE(r.amenities,'')) LIKE '%máy lạnh%' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Giao dịch blockchain tháng 2 của tôi (v2)","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.payment_tx_hash, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 2 AND b.payment_tx_hash IS NOT NULL ORDER BY b.year DESC, b.month DESC LIMIT 30","SQL","","1"
