"text","intent","role","note"
"số phòng trống cho loại studio","VIEW_OCCUPANCY","LANDLORD","theo loại phòng"
"phòng nào trống nhưng giá cao","VIEW_OCCUPANCY","LANDLORD","phòng trống giá cao"
"báo cáo lấp đầy theo tuần này","VIEW_OCCUPANCY","LANDLORD","theo tuần"
"admin muốn xem tỷ lệ lấp đầy toàn nền tảng","VIEW_OCCUPANCY","ADMIN","admin toàn nền tảng"
"admin cần kiểm tra khu trọ có nhiều phòng trống bất thường","VIEW_OCCUPANCY","ADMIN","admin bất thường"
"hợp đồng nào sắp hết hạn trong 7 ngày tới","VIEW_RISK","LANDLORD","risk 7 ngày"
"hợp đồng nào sắp hết hạn trong 14 ngày tới","VIEW_RISK","LANDLORD","risk 14 ngày"
"hợp đồng nào sắp hết hạn trong 30 ngày tới","VIEW_RISK","LANDLORD","risk 30 ngày"
"cảnh báo rủi ro trống phòng tháng này","VIEW_RISK","LANDLORD","risk vacancy"
"phòng nào có nguy cơ trống trong tuần tới","VIEW_RISK","LANDLORD","risk tuần tới"
"khách nào sắp hết hạn hợp đồng cần gia hạn","VIEW_RISK","LANDLORD","risk cần gia hạn"
"danh sách hợp đồng hết hạn trong tháng 6","VIEW_RISK","LANDLORD","risk tháng cụ thể"
"hợp đồng nào đã gần hết hạn nhưng chưa trao đổi","VIEW_RISK","LANDLORD","risk chưa xử lý"
"rủi ro mất doanh thu do phòng sắp trống","VIEW_RISK","LANDLORD","risk revenue"
"cho tôi danh sách hợp đồng cần xử lý gấp","VIEW_RISK","LANDLORD","risk ưu tiên"
"cảnh báo hợp đồng còn dưới 10 ngày","VIEW_RISK","LANDLORD","risk dưới 10 ngày"
"hợp đồng nào còn dưới 5 ngày hết hạn","VIEW_RISK","LANDLORD","risk dưới 5 ngày"
"khu trọ nào có nhiều hợp đồng sắp hết hạn","VIEW_RISK","LANDLORD","risk theo khu"
"phòng nào có nguy cơ trống kéo dài","VIEW_RISK","LANDLORD","risk vacancy kéo dài"
"rủi ro theo từng khu trọ trong 30 ngày","VIEW_RISK","LANDLORD","risk 30 ngày theo khu"
"hợp đồng nào cần nhắc gia hạn hôm nay","VIEW_RISK","LANDLORD","risk nhắc hôm nay"
"cảnh báo khách thường trả trễ sắp hết hạn hợp đồng","VIEW_RISK","LANDLORD","risk khách trả trễ"
"admin cần theo dõi rủi ro hợp đồng toàn hệ thống","VIEW_RISK","ADMIN","admin risk toàn hệ thống"
"admin muốn xem danh sách hợp đồng có khả năng tranh chấp","VIEW_RISK","ADMIN","admin risk tranh chấp"
"xem hóa đơn tháng 9 của tôi còn thiếu gì không","VIEW_BILL","TENANT","bổ sung v2 để đủ 20 mẫu VIEW_BILL"
